,status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
3523,1250577640211091456,2532394837,2020-04-16T00:11:58Z,Bora_Chandra,"अरे कोई इन जाहिल गवारों को समझाए अगर ये (ईश्वर के दूत/खुदा के बन्दे) नाराज हो गए तो याद रखना फिर सड़ते रहना घर के अंदर, कोई खुदा नहीं आएगा तुम्हें बचाने
#Muradabad 
#COVID19 
#IndiaFightsCorona https://t.co/fBBy4VD2wd",Twitter for Android,,,,True,False,66078,0,IN,"Uttaranchal, India",admin,1328,4990,,2014-05-29T10:33:19Z,False,hi
5067,1250579097538842624,1024631795558506500,2020-04-16T00:17:46Z,neheart2937,"#जबलपुर 9 साल का मासूम कोरोना पॉजिटिव है। अकेले हॉस्पिटल जा रहे बच्चे पर क्या बीत रही होगी। और अपने कलेजे के टुकड़े को इस तरह अकेले जाता देख परिवार पर क्या बीत रही होगी, ये बीमारी ही ऐसी है, अपने भी साथ छोड़ने पर मजबूर हैं। 

#PleaseStayHome 
#Covid19

🙏#Getwellsoon🙏🙏 https://t.co/YyYMQLMKLT",Twitter for Android,,,,False,False,14729,0,IN,"Bidhan Nagar, India",city,521,163,,2018-08-01T12:23:51Z,False,hi
6180,1250580187843969024,76961220,2020-04-16T00:22:06Z,souravipaul,"Interesting Read. A Four point strategy beyond the #covid19 Lockdown and suggestive yet detailed measures which needs to be developed, and will require sustained and empathetic communication by governments, businesses and community leaders. https://t.co/vBCQGkxISJ",Twitter for iPhone,,,,True,False,841,0,IN,"New Delhi, India",city,610,623,,2009-09-24T15:10:16Z,False,en
6427,1250580458657570816,1462048578,2020-04-16T00:23:10Z,iamvipinsahu,#iamvipinsahu @iamvipinsahu #vipin_sahu #vipin #विपिन #StayHomeStaySafe #TwitterTrends https://t.co/PX9E5mSEch,Twitter for Android,,,,False,False,58,0,IN,"State Bank Of India, Mhow",poi,67,264,,2013-05-27T13:07:40Z,False,und
7171,1250581211996540929,3014774985,2020-04-16T00:26:10Z,uttamkumar51289,"(#COVID19) #कोरोना वैश्विक महामारी से संबंधित महत्वपूर्ण सूचना:-  
""तोड़ देंगे तुम्हारे शरीर का कोना-कोना, मगर होने ना देंगे तुमको कोरोना"" । 
इसलिए घर में रहिए, सुरक्षित रहिए । 
जिला एवं पुलिस प्रशासन, कटिहार द्वारा जनहित में जारी । 😃😛😍👍👌 https://t.co/qORMyW4PCw",Twitter for Android,,,,False,False,2841,0,IN,"Katihar, India",city,16,1050,,2015-02-03T17:19:05Z,False,hi
8697,1250582637774663680,1238157488890843136,2020-04-16T00:31:50Z,xcom3333,"@Imamofpeace China sneezed - world freezed.

#Covid_19 #ChineseVirus #CoronaFighters",Twitter for Android,1.2504913670101688e+18,1583865109.0,Imamofpeace,False,False,664,0,IN,"Vishakhapatnam, India",city,6,33,,2020-03-12T17:38:53Z,False,en
9035,1250582991367098368,4341700154,2020-04-16T00:33:14Z,AbbasMastan13,"The poor in India are starving, the public is troubled by an epidemic #COVID19 #CoronaVirus, the Indian media sees no other issue and #Abp_news puts the father at the forefront.😳😡 https://t.co/e8VAoe6bqr",Twitter for Android,,,,False,False,5134,1,IN,"New Delhi, India",city,161,406,,2015-11-24T05:36:56Z,False,en
10748,1250584861833719809,72519825,2020-04-16T00:40:40Z,BhavnaPPD,"We are not stuck at home we are safe at home... 
Sitting in #lucknow and remembering this beautiful #sunrise from #HimanchalPradesh #traveldiaries #2019travel 
.
.
.
.
#newday #newhope #newpossibility #StayHomeStaySafe https://t.co/FvMi5xpkjI",Twitter for iPhone,,,,False,False,230,0,IN,"Lucknow, India",city,18,74,,2009-09-08T10:12:17Z,False,en
10946,1250585083292999680,3421482130,2020-04-16T00:41:33Z,santosh581158,"इटली में अबतक 1000 फादर मर चुके हैं और ये लोग भारत में यह कहकर धर्म परिवर्तन कराते हैं कि जीसस तुम्हारे सारे रोग दूर कर देगा
😂 ये महामारी है ये भक्त,चमचा,अमीर,गरीब,कुछ नहीं देखता 🙏 अतः घर पर ही रहिए
#StayHomeStaySafe",Twitter for Android,,,,False,False,18737,5,IN,"Lakhimpur, India",city,2408,2438,,2015-08-14T02:08:21Z,False,hi
12112,1250586378926088194,2962549544,2020-04-16T00:46:42Z,prit_ap,"गौर करोगे तो फर्क दिखेगा...
पत्थर होते होंगे तुम्हारे हाथों में, हमारे हाथों में तो पुष्प ही मिलेगा !!! 

बांके बिहारी मंदिर वृन्दावन (मथुरा)
#COVID19 
#Mandir
#vrindavan #Mathura https://t.co/KAskTLZhwP",Twitter for Android,,,,False,False,38933,0,IN,"Mathura, India",city,658,720,,2015-01-07T07:33:01Z,False,hi
